ticker,total_news,avg_sentiment,positive_news,neutral_news,negative_news,avg_confidence,latest_price,avg_price,avg_volume,attention_score,attention_level,sentiment_score,sentiment_level,momentum_index,momentum_level,confidence_score,confidence_level,risk_score,risk_level,opportunity_score,opportunity_level,recommendation,executive_summary,analyst_insight,business_impact,suggested_action,key_drivers
AAPL,36,-0.06704511576228672,5,23,8,0.8292583856317732,299.2300109863281,299.0082751858619,49435227.741935484,35.0,Medium,46.6,Neutral,42.0,Weak,100,Very High,57.2,Moderate,47.5,Low,Monitor,AAPL currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by very high confidence.",No significant business impact detected at present.,Continue routine monitoring.,Very High Confidence
AMD,1,-0.5660317540168762,0,0,1,0.5660317540168762,,,,1.0,Low,21.7,Very Negative,13.4,Very Weak,20,Very Low,43.4,Low,13.7,Very Low,Insufficient Evidence,AMD currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Negative Sentiment, Low Attention, Very Low Confidence"
AMZN,7,-0.025341263839176724,1,5,1,0.7681634426116943,,,,6.8,Low,48.7,Neutral,31.9,Very Weak,60,Medium,39.7,Low,33.9,Very Low,Monitor,AMZN currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by medium confidence.",No significant business impact detected at present.,Continue routine monitoring.,"Low Attention, Medium Confidence"
ANTHROPIC,7,-0.07014226913452148,1,4,2,0.8170818941933768,,,,6.8,Low,46.5,Neutral,30.6,Very Weak,60,Medium,40.8,Low,32.8,Very Low,Monitor,ANTHROPIC currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by medium confidence.",No significant business impact detected at present.,Continue routine monitoring.,"Low Attention, Medium Confidence"
ARM,6,0.15398523211479187,1,5,0,0.8382593095302582,,,,5.8,Low,57.7,Positive,36.9,Weak,60,Medium,34.9,Very Low,38.2,Low,Monitor,ARM currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by medium confidence.",No significant business impact detected at present.,Continue routine monitoring.,"Low Attention, Medium Confidence"
BP,3,0.0,0,3,0,0.7052002251148224,,,,2.9,Low,50.0,Neutral,31.2,Very Weak,40,Low,33.9,Very Low,31.1,Very Low,Monitor,BP currently shows no exceptional market behaviour.,"Current recommendation is ""Monitor"" supported by low confidence.",No significant business impact detected at present.,Continue routine monitoring.,"Low Attention, Low Confidence"
C,1,0.0,0,1,0,0.8953465819358826,,,,1.0,Low,50.0,Neutral,30.4,Very Weak,20,Very Low,29.3,Very Low,28.4,Very Low,Insufficient Evidence,C currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Low Attention, Very Low Confidence"
COHERE,1,0.9301836490631104,1,0,0,0.9301836490631104,,,,1.0,Low,96.5,Very Positive,58.3,Moderate,20,Very Low,6.0,Very Low,52.6,Low,Insufficient Evidence,COHERE currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Positive Sentiment, Low Attention, Very Low Confidence"
DIS,2,0.0,0,2,0,0.6891885101795197,,,,1.9,Low,50.0,Neutral,30.8,Very Weak,20,Very Low,29.6,Very Low,28.7,Very Low,Insufficient Evidence,DIS currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Low Attention, Very Low Confidence"
F,1,0.0,0,1,0,0.931246817111969,,,,1.0,Low,50.0,Neutral,30.4,Very Weak,20,Very Low,29.3,Very Low,28.4,Very Low,Insufficient Evidence,F currently shows no exceptional market behaviour.,"Current recommendation is ""Insufficient Evidence"" supported by very low confidence.",No significant business impact detected at present.,Wait for additional market information before drawing conclusions.,"Low Attention, Very Low Confidence"
